"itemA","itemB","theor1_Mind-Body-Action","theor2_PerCog-OdActSpAct-BodyStimBodynoStim","theor3_Physical-Ethereal","theor4_cosine_similarity"
"hear something","feel scared",1,1,1,0.455727063387354
"choose what to do","feel scared",1,1,1,0.447281896573276
"remember something","feel scared",1,1,1,0.405250159278127
"think about something","feel scared",1,1,1,0.408816786329912
"reach for something","feel scared",1,1,0,0.429335504819286
"sit down","feel scared",1,1,0,0.336513360171491
"jump up and down","feel scared",1,1,0,0.395716356299651
"kick something","feel scared",1,1,0,0.371161821023757
"take a walk","feel scared",1,1,0,0.383927825042982
"get tired","feel scared",0,1,0,0.317504569440663
"become hungry","feel scared",0,1,0,0.305715654334461
"experience pain","feel scared",0,0,0,0.314692682783291
"get sick","feel scared",0,1,0,0.315514409738164
"see something","experience pain",1,1,1,0.446760116897904
"hear something","experience pain",1,1,1,0.468404520460012
"choose what to do","experience pain",1,1,1,0.439142639937397
"remember something","experience pain",1,1,1,0.466446938656362
"think about something","experience pain",1,1,1,0.482180822369259
"reach for something","experience pain",1,1,0,0.495644112442861
"sit down","experience pain",1,1,0,0.397284095201174
"jump up and down","experience pain",1,1,0,0.441725813899396
"kick something","experience pain",1,1,0,0.447760486363409
"take a walk","experience pain",1,1,0,0.429694323544127
"get tired","experience pain",0,1,0,0.407201241954402
"become hungry","experience pain",0,1,0,0.39732146788056
"feel scared","experience pain",0,0,0,0.314692682783291
"get sick","experience pain",0,1,0,0.385754708450013
"see something","get sick",1,1,1,0.409189196967582
"hear something","get sick",1,1,1,0.409870825575357
"choose what to do","get sick",1,1,1,0.357113344394277
"remember something","get sick",1,1,1,0.431813424911782
"think about something","get sick",1,1,1,0.427618970780197
"reach for something","get sick",1,1,0,0.368560418335355
"sit down","get sick",1,1,0,0.262813014087912
"jump up and down","get sick",1,1,0,0.3125738178529
"kick something","get sick",1,1,0,0.35044084367355
"take a walk","get sick",1,1,0,0.267321189310773
"get tired","get sick",0,0,0,0.23194592096925
"become hungry","get sick",0,0,0,0.315512329332576
"feel scared","get sick",0,1,0,0.315514409738164
"experience pain","get sick",0,1,0,0.385754708450013
